"This Bible is in the Public Domain."
"Verse ID","Book Name","Book Number",Chapter,Verse,Text
1,Génesis,1,1,1,"EN el principio creó Dios los cielos y la tierra."
2,Génesis,1,1,2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas."
3,Génesis,1,1,3,"Y dijo Dios: Sea la luz: y fué la luz."
4,Génesis,1,1,4,"Y vió Dios que la luz era buena: y apartó Dios la luz de las tinieblas."
5,Génesis,1,1,5,"Y llamó Dios á la luz Día, y á las tinieblas llamó Noche: y fué la tarde y la mañana un día."
6,Génesis,1,1,6,"Y dijo Dios: Haya expansión en medio de las aguas, y separe las aguas de las aguas."
7,Génesis,1,1,7,"E hizo Dios la expansión, y apartó las aguas que estaban debajo de la expansión, de las aguas que estaban sobre la expansión: y fué así."
8,Génesis,1,1,8,"Y llamó Dios á la expansión Cielos: y fué la tarde y la mañana el día segundo."
9,Génesis,1,1,9,"Y dijo Dios: Júntense las aguas que están debajo de los cielos en un lugar, y descúbrase la seca: y fué así."
10,Génesis,1,1,10,"Y llamó Dios á la seca Tierra, y á la reunión de las aguas llamó Mares: y vió Dios que era bueno."
11,Génesis,1,1,11,"Y dijo Dios: Produzca la tierra hierba verde, hierba que dé simiente; árbol de fruto que dé fruto según su género, que su simiente esté en él, sobre la tierra: y fué así."
12,Génesis,1,1,12,"Y produjo la tierra hierba verde, hierba que da simiente según su naturaleza, y árbol que da fruto, cuya simiente está en él, según su género: y vió Dios que era bueno."
13,Génesis,1,1,13,"Y fué la tarde y la mañana el día tercero."
14,Génesis,1,1,14,"Y dijo Dios: Sean lumbreras en la expansión de los cielos para apartar el día y la noche: y sean por señales, y para las estaciones, y para días y años;"
15,Génesis,1,1,15,"Y sean por lumbreras en la expansión de los cielos para alumbrar sobre la tierra: y fue."
16,Génesis,1,1,16,"E hizo Dios las dos grandes lumbreras; la lumbrera mayor para que señorease en el día, y la lumbrera menor para que señorease en la noche: hizo también las estrellas."
17,Génesis,1,1,17,"Y púsolas Dios en la expansión de los cielos, para alumbrar sobre la tierra,"
18,Génesis,1,1,18,"Y para señorear en el día y en la noche, y para apartar la luz y las tinieblas: y vió Dios que era bueno."
19,Génesis,1,1,19,"Y fué la tarde y la mañana el día cuarto."
20,Génesis,1,1,20,"Y dijo Dios: Produzcan las aguas seres vivientes, y aves que vuelen sobre la tierra, en la abierta expansión de los cielos."
21,Génesis,1,1,21,"Y creó Dios las grandes criaturas marinas, y todo ser viviente que se mueve, que las aguas produjeron según su género, y toda ave alada según su especie: y vió Dios que era bueno."
22,Génesis,1,1,22,"Y Dios los bendijo diciendo: Fructificad y multiplicaos, y llenad las aguas en los mares, y las aves se multipliquen en la tierra."
23,Génesis,1,1,23,"Y fué la tarde y la mañana el día quinto."
24,Génesis,1,1,24,"Y dijo Dios: Produzca la tierra seres vivientes según su género, bestias y serpientes y animales de la tierra según su especie: y fué así."
25,Génesis,1,1,25,"E hizo Dios animales de la tierra según su género, y ganado según su género, y todo animal que anda arrastrando sobre la tierra según su especie: y vió Dios que era bueno."
26,Génesis,1,1,26,"Y dijo Dios: Hagamos al hombre á nuestra imagen, conforme á nuestra semejanza; y señoree en los peces de la mar, y en las aves de los cielos, y en las bestias, y en toda la tierra, y en todo animal que anda arrastrando sobre la tierra."
27,Génesis,1,1,27,"Y creó Dios al hombre á su imagen, á imagen de Dios lo creó; varón y hembra los creó."
28,Génesis,1,1,28,"Y los bendijo Dios; y díjoles Dios: Fructificad y multiplicaos, y llenad la tierra, y sojuzgadla, y señoread en los peces de la mar, y en las aves de los cielos, y en todas las bestias que se mueven sobre la tierra."
29,Génesis,1,1,29,"Y dijo Dios: He aquí que os he dado toda hierba que da simiente, que está sobre la haz de toda la tierra; y todo árbol en que hay fruto de árbol que da simiente,  ellos les servirán de alimento."
30,Génesis,1,1,30,"Y á toda bestia de la tierra, y á todas las aves de los cielos, y á todo lo que se mueve sobre la tierra, en que hay vida, toda hierba verde les será para comer: y fué así."
31,Génesis,1,1,31,"Y vió Dios todo lo que había hecho, y he aquí que era bueno en gran manera. Y fué la tarde y la mañana el día sexto."
32,Génesis,1,2,1,"Y FUERON acabados los cielos y la tierra, y todo su ornamento."
33,Génesis,1,2,2,"Y acabó Dios en el día séptimo su obra que hizo, y reposó el día séptimo de toda su obra que había hecho."
34,Génesis,1,2,3,"Y bendijo Dios al día séptimo, y santificólo, porque en él reposó de toda su obra que había hecho en la creación."
35,Génesis,1,2,4,"Estos son los orígenes de los cielos y de la tierra cuando fueron creados, el día que Jehová Dios hizo la tierra y los cielos,"
36,Génesis,1,2,5,"Y toda planta del campo antes que fuese en la tierra, y toda hierba del campo antes que naciese: porque aun no había Jehová Dios hecho llover sobre la tierra, ni había hombre para que labrase la tierra;"
37,Génesis,1,2,6,"Mas subía de la tierra un vapor, que regaba toda la faz de la tierra."
38,Génesis,1,2,7,"Formó, pues, Jehová Dios al hombre del polvo de la tierra, y alentó en su nariz soplo de vida; y fué el hombre en alma viviente."
39,Génesis,1,2,8,"Y había Jehová Dios plantado un huerto en Edén al oriente, y puso allí al hombre que había formado."
40,Génesis,1,2,9,"Y había Jehová Dios hecho nacer de la tierra todo árbol delicioso á la vista, y bueno para comer: también el árbol de vida en medio del huerto, y el árbol de ciencia del bien y del mal."
41,Génesis,1,2,10,"Y salía de Edén un río para regar el huerto, y de allí se repartía en cuatro ramales."
42,Génesis,1,2,11,"El nombre del uno era Pisón: éste es el que cerca toda la tierra de Havilah, donde hay oro:"
43,Génesis,1,2,12,"Y el oro de aquella tierra es bueno: hay allí también bedelio y piedra de ónix."
44,Génesis,1,2,13,"El nombre del segundo río es Gihón: éste es el que rodea toda la tierra de Etiopía."
45,Génesis,1,2,14,"Y el nombre del tercer río es Hiddekel: éste es el que va delante de Asiria. Y el cuarto río es el Eufrates."
46,Génesis,1,2,15,"Tomó, pues, Jehová Dios al hombre, y le puso en el huerto de Edén, para que lo labrara y lo guardase."
47,Génesis,1,2,16,"Y mandó Jehová Dios al hombre, diciendo: De todo árbol del huerto comerás;"
48,Génesis,1,2,17,"Mas del árbol de ciencia del bien y del mal no comerás de él; porque el día que de él comieres, morirás."
49,Génesis,1,2,18,"Y dijo Jehová Dios: No es bueno que el hombre esté solo; le haré una ayuda idónea para él."
50,Génesis,1,2,19,"Formó, pues, Jehová Dios de la tierra toda bestia del campo, y toda ave de los cielos, y las trajo a Adam, para que viese cómo les había de llamar; y todo lo que Adam llamó á los animales vivientes, ese es su nombre."
51,Génesis,1,2,20,"Y puso Adam nombres á toda bestia y ave de los cielos y á todo animal del campo: mas para Adam no halló ayuda que estuviese idónea para él."
52,Génesis,1,2,21,"Y Jehová Dios hizo caer sueño sobre Adam, y se quedó dormido: entonces tomó una de sus costillas, y cerró la carne en su lugar;"
53,Génesis,1,2,22,"Y de la costilla que Jehová Dios tomó del hombre, hizo una mujer, y la trajo al hombre."
54,Génesis,1,2,23,"Y dijo Adam: Esto es ahora hueso de mis huesos, y carne de mi carne: ésta será llamada Varona, porque del varón fué tomada."
55,Génesis,1,2,24,"Por tanto, dejará el hombre á su padre y á su madre, y allegarse ha á su mujer, y serán una sola carne."
56,Génesis,1,2,25,"Y estaban ambos desnudos, Adam y su mujer, y no se avergonzaban."
